==39170== NVPROF is profiling process 39170, command: ./FW 20181101.as-rel.txt 1000 1 0
==39170== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==39170== Profiling application: ./FW 20181101.as-rel.txt 1000 1 0
==39170== Profiling result:
==39170== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "GeForce GTX TITAN X (0)"
    Kernel: FW_kernel(int*, int*, unsigned int, int)
       1000                 tex0_cache_sector_queries      313000      313020      313000   313000044
       1000                 tex1_cache_sector_queries      313000      313010      313000   313000038
       1000                  tex0_cache_sector_misses      141000      141014      141000   141000038
       1000                  tex1_cache_sector_misses      141000      141012      141000   141000044
       1000                     fb_subp0_read_sectors       58856       62532       60293    60293363
       1000                     fb_subp1_read_sectors       59328       62635       60726    60726210
       1000                    fb_subp0_write_sectors           9       24568       23794    23794770
       1000                    fb_subp1_write_sectors          10       24551       23489    23489539
       1000              l2_subp0_write_sector_misses          12       24552       23829    23829515
       1000              l2_subp1_write_sector_misses           7       24567       23839    23839367
       1000               l2_subp0_read_sector_misses       59272       62646       60553    60553852
       1000               l2_subp1_read_sector_misses       59104       62525       60451    60451448
       1000          l2_subp0_read_tex_sector_queries      134312      147664      141009   141009024
       1000          l2_subp1_read_tex_sector_queries      134336      147688      140990   140990976
       1000         l2_subp0_write_tex_sector_queries           0          13           0          34
       1000         l2_subp1_write_tex_sector_queries           0          13           0          48
       1000             l2_subp0_read_tex_hit_sectors       72672       87944       80465    80465740
       1000             l2_subp1_read_tex_hit_sectors       72032       87932       80549    80549008
       1000            l2_subp0_write_tex_hit_sectors           0           6           0          17
       1000            l2_subp1_write_tex_hit_sectors           0           7           0          24
       1000        l2_subp0_total_read_sector_queries      134360      147808      141106   141106782
       1000        l2_subp1_total_read_sector_queries      134391      147775      141092   141092983
       1000       l2_subp0_total_write_sector_queries           0          16           2        2126
       1000       l2_subp1_total_write_sector_queries           2          19           4        4109
       1000       l2_subp0_read_sysmem_sector_queries           0          10           0          11
       1000       l2_subp1_read_sysmem_sector_queries           0          10           0          56
       1000      l2_subp0_write_sysmem_sector_queries           0           4           1        1932
       1000      l2_subp1_write_sysmem_sector_queries           1           5           3        3068
       1000                         elapsed_cycles_sm      764724     1158220      885095   885095396
       1000                             gld_inst_8bit           0           0           0           0
       1000                            gld_inst_16bit           0           0           0           0
       1000                            gld_inst_32bit     3000000     3000000     3000000  3000000000
       1000                            gld_inst_64bit           0           0           0           0
       1000                           gld_inst_128bit           0           0           0           0
       1000                             gst_inst_8bit           0           0           0           0
       1000                            gst_inst_16bit           0           0           0           0
       1000                            gst_inst_32bit           0          26           0          86
       1000                            gst_inst_64bit           0           0           0           0
       1000                           gst_inst_128bit           0           0           0           0
       1000                           prof_trigger_00           0           0           0           0
       1000                           prof_trigger_01           0           0           0           0
       1000                           prof_trigger_02           0           0           0           0
       1000                           prof_trigger_03           0           0           0           0
       1000                           prof_trigger_04           0           0           0           0
       1000                           prof_trigger_05           0           0           0           0
       1000                           prof_trigger_06           0           0           0           0
       1000                           prof_trigger_07           0           0           0           0
       1000                            warps_launched       32768       32768       32768    32768000
       1000                              inst_issued0     1433845     2997766     1884482  1884482996
       1000                              inst_issued1     1166854     1167261     1166957  1166957925
       1000                              inst_issued2       64000       64023       64001    64001185
       1000                             inst_executed     1290752     1290797     1290752  1290752185
       1000                      thread_inst_executed    40680064    40680128    40680064  4.0680e+10
       1000   not_predicated_off_thread_inst_executed    39680064    39680116    39680064  3.9680e+10
       1000                               local_store           0           0           0           0
       1000                                local_load           0           0           0           0
       1000                               shared_load           0           0           0           0
       1000                              shared_store           0           0           0           0
       1000                           shared_atom_cas           0           0           0           0
       1000                               shared_atom           0           0           0           0
       1000                           global_atom_cas           0           0           0           0
       1000                                atom_count           0           0           0           0
       1000                                gred_count           0           0           0           0
       1000                               global_load       96000       96000       96000    96000000
       1000                              global_store           0          18           0          74
       1000                          divergent_branch           0           0           0           0
       1000                                    branch       64768       64777       64768    64768037
       1000                             active_cycles      667017     1059138      782231   782231684
       1000                              active_warps    31112070    51263458    36947497  3.6947e+10
       1000                               active_ctas     1184493     1979026     1427602  1427602612
       1000                           sm_cta_launched        1024        1024        1024     1024000
       1000                   shared_ld_bank_conflict           0           0           0           0
       1000                   shared_st_bank_conflict           0           0           0           0
       1000                    shared_ld_transactions           0           0           0           0
       1000                    shared_st_transactions           0           0           0           0

==39170== Metric result:
Invocations                               Metric Name                                    Metric Description         Min         Max         Avg
Device "GeForce GTX TITAN X (0)"
    Kernel: FW_kernel(int*, int*, unsigned int, int)
       1000                             sm_efficiency                               Multiprocessor Activity      71.56%      91.67%      88.34%
       1000                        achieved_occupancy                                    Achieved Occupancy    0.724622    0.764409    0.738479
       1000                                       ipc                                          Executed IPC    1.207172    1.922997    1.663950
       1000                                issued_ipc                                            Issued IPC    1.220251    1.954735    1.669284
