,n,total_time,kernel_time,memcpy,cudaMemcpy,cudaMalloc,cudaFree,cudaLaunch
0,500,40,0.62832,0.3711,0.11564,0.24399,0.50251,0.76844
1,500,50,0.62831,0.3209,0.17789,0.2404,0.38361,0.97835
2,500,40,0.62843,0.32516,0.11478,0.13582,0.40536,0.67857
3,1000,90,3.1025,0.53874,2.6737,0.28504,0.50394,1.1583
4,1000,90,3.1025,0.31046,1.8353,0.73624,0.51081,1.7265
5,1000,90,3.1017,0.21964,2.4853,0.5718,0.43731,1.0458
6,1500,180,10.214,0.70652,7.9623,0.63951,0.55702,3.6426
7,1500,180,10.215,0.4838,7.6285,0.65363,0.63537,3.1889
8,1500,190,9.3466,0.42299,7.0293,0.69596,0.53901,2.8053
9,2000,320,20.91,1.00682,11.95,0.69036,0.57175,9.8382
10,2000,320,20.912,1.04955,11.983,0.9561,0.59838,9.8264
11,2000,310,20.913,0.95061,11.979,0.84834,0.72169,9.9328
12,2500,490,41.933,1.30802,18.127,0.16527,0.67566,24.616
13,2500,570,43.328,2.4532,19.91,0.16257,0.64377,25.989
14,2500,550,41.999,3.24713,20.633,0.82369,0.58742,24.261
15,3000,660,69.168,4.3851,28.187,0.22023,0.85453,44.523
16,3000,890,69.172,7.21278,31.263,0.21053,0.1093,45.144
17,3000,830,69.169,3.88443,27.779,0.31886,0.10627,45.055
18,2000,320,20.91,1.00682,11.95,0.69036,0.57175,9.8382
19,2000,320,20.912,1.04955,11.983,0.9561,0.59838,9.8264
20,2000,310,20.913,0.95061,11.979,0.84834,0.72169,9.9328
21,2500,490,41.933,1.30802,18.127,0.16527,0.67566,24.616
22,2500,570,43.328,2.4532,19.91,0.16257,0.64377,25.989
23,2500,550,41.999,3.24713,20.633,0.82369,0.58742,24.261
24,3000,660,69.168,4.3851,28.187,0.22023,0.85453,44.523
25,3000,890,69.172,7.21278,31.263,0.21053,0.1093,45.144
26,3000,830,69.169,3.88443,27.779,0.31886,0.10627,45.055
27,3500,1300,1177.6,7.6166,42.079,0.28035,0.10363,82.688
28,3500,1360,1182.4,17.9553,52.688,0.30309,0.11884,82.357
29,3500,1210,1165.4,14.1538,48.729,0.21567,0.10916,81.888
30,4000,1840,1641.4,8.7371,51.154,0.2241,0.14575,1212.2
31,4000,1640,1643,13.8708,56.264,0.22057,0.11247,1206.8
32,4000,1650,1643.1,12.5532,55.081,0.21715,0.12715,1212.6
33,4500,2890,2475.7,22.8898,79.724,0.33922,0.10403,1902.6
34,4500,2560,2475.9,37.1233,94.149,0.22721,0.12615,1902.7
35,4500,2430,2502,25.5329,83.38,0.32674,0.12575,1920.2
36,5000,3620,3300,30.8234,99.123,0.51116,0.14109,2611.4
37,5000,3350,3297.5,11.3485,79.354,0.51153,0.13396,2609.3
38,5000,3760,3295.8,30.1857,98.555,0.43496,0.15742,2607.8
